,Prof,Lec,Star,Reviews
0,김동언,한국어문화입문,4,"이 수업은 1교시 아침부터 기어나가야한다는 슬픔과 과제 폭탄으로부터 버티겠단 마음가짐으로 하면 점수 잘 나올 듯. 중간이나 기말은 그냥저냥이었는데 출석 다 하고 과제도 다 내고, 가산점 주는 발표했더니 A+.. 매년마다 다르겠지만 내가 다닐 때는 수업 빠진 애들이 많아서 그런가 출석과 과제제출만 해도 점수 얻기 좋지 않았나하고 추측해봄.일단 과제는 매우... 매우 많음.. 매주 5p 분량씩  수업 때 진도 나간 강의 책 보고 요약 정리를 해야함.. 심지어 기한도 3일.. 가끔 4일일 때도 있음. ppt 복붙하지 말길.. 걸리면 미제출 처리한다고 중간에 단체문자 온 적도 있음.목소리가 조곤조곤하시고 1교시 수업이라 난 굉장히 졸았음.. ppt와 교재를 번갈아가며 진도를 나가서 수업 따라가기 힘들었음.  진도도 빨리나가서 시험범위가 좀 많았음.  가끔 중요한 부분 짚어주시니 최대한 깨어있을수록 좋음.강의  끝나갈 즈음에 가산점 주는 발표가 있는데 이건 꼭 하시는 거 추천드림. 시험 그냥저냥 본 것 같아서 가산점이라도 받으려고 발표했는데 꽤 비중이 큰 것 같았음. 참고로 팀플임... :)시험 난이도는 진도가 많은 거 빼면 보통 정도?  개인적으로 슥 훑어만 봤는데 그럭저럭 답 쓴 듯. 단답형과 주관식 섞여있음. 확실히 기억나진 않지만 단답 10개 주관식 4~5개 정도?수업 듣고 과제할 땐 정말 힘들었는데 점수보고 좋은 수업이었다고 생각하는 중. 근데 한 번 더 들으라면 못할 듯. 이거 문장연습이랑 같이 들으면 월요일에 내야할 과제가 3개가 될 거임. 바뀔수도 있지만 난 그랬음...ㅠㅠ 그래도 교수님은 좋으셨다"
1,심정연,미래기술과인공지능,4,프린트물 달달외우면 시험은 어렵지 않을 것 같은데 그 프린트물 양이 ㅈㄴ 많습니다 암기 잘 하시는 분들 들으세요..
2,오대혁,글로벌상거래관리,5,오대혁 교수님 강의는 꼭 들어봐야함 이때까지 수강했던 강의 중 가장 재밌게 수업들었고 지루하지않았음 여러가지 사례들로 쉽게 설명해주심  성적도 잘주시는데 개인적으로 B+ 받기는 쉬워도 A+  받기는 어려운 수업이라 생각함
3,김광휘,공학수학,4,좀 졸리지만 교수님이 정말 열정적이심 난도는 수학을 웬만큼 하면 쉬울것 같은데 문과에 수학 잘 모르면 적당히 공부하고 들으세요 수업은 올출석에 열심히 들었는데 기초가 하나도 없어서 기말 하나도 못풀었고 에프는 안주심ㅜ
4,주영도,C프로그래밍I,5,좋았습니다! 프로그래밍에 대해서 정말 하나도 몰랐는데 잘 가르쳐주셨습니다. 수업은 열심히 집중해서 들었고 시험기간 빼고 따로 공부 하지 않았는데 A+ 받았어요 타과 학생인데도!! 조아욥
5,윤성민,기독교와현대사회,4,정치적 성향만 안나타냈으면 개인적으로 좋았음 물론 학점은 아직 안받았지만
6,윤승태,채플(행복나눔)IV,1,지겨운 채플 안녕이다 안녕~~~~ 다신 보지말자
7,BRODIEDANIELERIC,AcademicEnglishII(intermediate),5,"온라인 숙제, 랜덤 게임, 발표 가 있지만 교수님이 너무 젛으심"
8,윤성민,기독교와현대사회,1,도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐 도망쳐
9,윤승태,기독교와현대사회,3,교수님 좋아염 엄청 깐깐하실 줄 알았는데 재밌으심
